updated,A5,A4,A3,A2,A1,A0
28/09/2021 23:45:29,0.000,3.472,5.428,0.000,0.000,0.362
28/09/2021 23:45:24,0.000,3.459,5.450,0.000,0.000,0.415
28/09/2021 23:45:19,0.000,3.484,5.450,0.000,0.000,0.342
28/09/2021 23:45:14,0.000,3.484,5.438,0.000,0.000,0.406
28/09/2021 23:45:09,0.000,3.496,5.438,0.000,0.000,0.386
28/09/2021 23:45:04,0.000,3.484,5.428,0.000,0.000,0.327
28/09/2021 23:44:59,0.000,3.484,5.450,0.000,0.000,0.391
28/09/2021 23:44:54,0.000,3.496,5.450,0.000,0.000,0.332
28/09/2021 23:44:49,0.000,3.484,5.474,0.000,0.000,0.376
28/09/2021 23:44:44,0.000,3.484,5.450,0.000,0.000,0.411
28/09/2021 23:44:39,0.000,3.484,5.474,0.000,0.000,0.386
28/09/2021 23:44:34,0.000,3.472,5.474,0.000,0.000,0.327
28/09/2021 23:44:29,0.000,3.472,5.462,0.000,0.000,0.411
28/09/2021 23:44:24,0.000,3.472,5.462,0.000,0.000,0.415
28/09/2021 23:44:19,0.000,3.484,5.498,0.000,0.000,0.396
28/09/2021 23:44:14,0.000,3.459,5.486,0.000,0.000,0.327
28/09/2021 23:44:09,0.000,3.447,5.474,0.000,0.000,0.415
28/09/2021 23:44:04,0.000,3.472,5.474,0.000,0.000,0.396
28/09/2021 23:43:59,0.000,3.472,5.474,0.000,0.000,0.396
28/09/2021 23:43:54,0.000,3.459,5.498,0.000,0.000,0.425
28/09/2021 23:43:49,0.000,3.472,5.498,0.000,0.000,0.425
28/09/2021 23:43:44,0.000,3.459,5.498,0.000,0.000,0.396
28/09/2021 23:43:39,0.000,3.472,5.498,0.000,0.000,0.401
28/09/2021 23:43:34,0.000,3.472,5.498,0.000,0.000,0.425
28/09/2021 23:43:29,0.000,3.472,5.498,0.000,0.000,0.391
28/09/2021 23:43:24,0.000,3.459,5.486,0.000,0.000,0.420
28/09/2021 23:43:19,0.000,3.459,5.486,0.000,0.000,0.386
28/09/2021 23:43:14,0.000,3.459,5.474,0.000,0.000,0.381
28/09/2021 23:43:09,0.000,3.472,5.486,0.000,0.000,0.396
28/09/2021 23:43:04,0.000,3.459,5.486,0.000,0.000,0.401
28/09/2021 23:42:59,0.000,3.472,5.474,0.000,0.000,0.396
28/09/2021 23:42:54,0.000,3.472,5.486,0.000,0.000,0.327
28/09/2021 23:42:49,0.000,3.472,5.474,0.000,0.000,0.401
28/09/2021 23:42:44,0.000,3.472,5.498,0.000,0.000,0.357
28/09/2021 23:42:39,0.000,3.459,5.498,0.000,0.000,0.371
28/09/2021 23:42:34,0.000,3.459,5.498,0.000,0.000,0.381
28/09/2021 23:42:29,0.000,3.484,5.510,0.000,0.000,0.420
28/09/2021 23:42:24,0.000,3.472,5.498,0.000,0.000,0.411
28/09/2021 23:42:19,0.000,3.459,5.498,0.000,0.000,0.430
28/09/2021 23:42:14,0.000,3.484,5.486,0.000,0.000,0.381
28/09/2021 23:42:09,0.000,3.459,5.510,0.000,0.000,0.386
28/09/2021 23:42:04,0.000,3.472,5.510,0.000,0.000,0.415
28/09/2021 23:41:59,0.000,3.459,5.486,0.000,0.000,0.386
28/09/2021 23:41:54,0.000,3.459,5.498,0.000,0.000,0.396
28/09/2021 23:41:49,0.000,3.447,5.510,0.000,0.000,0.415
28/09/2021 23:41:44,0.000,3.472,5.498,0.000,0.000,0.391
28/09/2021 23:41:39,0.000,3.472,5.498,0.000,0.000,0.352
28/09/2021 23:41:34,0.000,3.459,5.498,0.000,0.000,0.327
28/09/2021 23:41:29,0.000,3.472,5.510,0.000,0.000,0.332
28/09/2021 23:41:24,0.000,3.472,5.510,0.000,0.000,0.381
28/09/2021 23:41:19,0.000,3.472,5.510,0.000,0.000,0.401
28/09/2021 23:41:14,0.000,3.472,5.510,0.000,0.000,0.411
28/09/2021 23:41:09,0.000,3.459,5.498,0.000,0.000,0.435
28/09/2021 23:41:04,0.000,3.472,5.510,0.000,0.000,0.323
28/09/2021 23:40:59,0.000,3.472,5.510,0.000,0.000,0.420
28/09/2021 23:40:54,0.000,3.447,5.486,0.000,0.000,0.415
28/09/2021 23:40:49,0.000,3.472,5.522,0.000,0.000,0.406
28/09/2021 23:40:44,0.000,3.447,5.486,0.000,0.000,0.396
28/09/2021 23:40:39,0.000,3.459,5.474,0.000,0.000,0.386
28/09/2021 23:40:34,0.000,3.472,5.522,0.000,0.000,0.401
28/09/2021 23:40:29,0.000,3.459,5.510,0.000,0.000,0.367
28/09/2021 23:40:24,0.000,3.472,5.498,0.000,0.000,0.323
28/09/2021 23:40:19,0.000,3.459,5.498,0.000,0.000,0.401
28/09/2021 23:40:14,0.000,3.459,5.498,0.000,0.000,0.396
28/09/2021 23:40:09,0.000,3.484,5.510,0.000,0.000,0.411
28/09/2021 23:40:04,0.000,3.459,5.498,0.000,0.000,0.411
28/09/2021 23:39:59,0.000,3.447,5.498,0.000,0.000,0.386
28/09/2021 23:39:54,0.000,3.459,5.498,0.000,0.000,0.342
28/09/2021 23:39:49,0.000,3.447,5.486,0.000,0.000,0.323
28/09/2021 23:39:44,0.000,3.472,5.498,0.000,0.000,0.396
28/09/2021 23:39:39,0.000,3.459,5.510,0.000,0.000,0.381
28/09/2021 23:39:34,0.000,3.447,5.498,0.000,0.000,0.406
28/09/2021 23:39:29,0.000,3.459,5.486,0.000,0.000,0.415
28/09/2021 23:39:24,0.000,3.459,5.486,0.000,0.000,0.401
28/09/2021 23:39:19,0.000,3.447,5.474,0.000,0.000,0.425
28/09/2021 23:39:14,0.000,3.472,5.510,0.000,0.000,0.376
28/09/2021 23:39:09,0.000,3.472,5.474,0.000,0.000,0.411
28/09/2021 23:39:04,0.000,3.447,5.498,0.000,0.000,0.391
28/09/2021 23:38:59,0.000,3.459,5.486,0.000,0.000,0.420
28/09/2021 23:38:54,0.000,3.447,5.486,0.000,0.000,0.406
28/09/2021 23:38:49,0.000,3.472,5.498,0.000,0.000,0.376
28/09/2021 23:38:44,0.000,3.459,5.498,0.000,0.000,0.323
28/09/2021 23:38:39,0.000,3.459,5.498,0.000,0.000,0.357
28/09/2021 23:38:34,0.000,3.459,5.522,0.000,0.000,0.332
28/09/2021 23:38:29,0.000,3.472,5.510,0.000,0.000,0.318
28/09/2021 23:38:24,0.000,3.447,5.498,0.000,0.000,0.323
28/09/2021 23:38:19,0.000,3.447,5.522,0.000,0.000,0.376
28/09/2021 23:38:14,0.000,3.447,5.486,0.000,0.000,0.420
28/09/2021 23:38:09,0.000,3.459,5.498,0.000,0.000,0.411
